19:25:28.898 INFO   - Transformation::resetOnLoad
19:25:28.898 INFO   - TransformationStateContext::resetOnLoad
19:25:28.898 INFO   - GraphicsLinesForCurves::resetOnLoad
19:25:28.898 INFO   - GraphicsScene::resetOnLoad itemsBefore=4 itemsAfter=4
19:25:28.898 INFO   - MainWindow::loadCurveListFromCmdMediator
19:25:28.898 INFO   - Document::curvesGraphsNames
19:25:28.898 INFO   - CoordSystemContext::curvesGraphsNames
19:25:28.898 INFO   - MainWindow::loadCoordSystemListFromCmdMediator
19:25:28.898 INFO   - Document::coordSystemCount
19:25:28.898 INFO   - MainWindow::updateViewsOfSettings
19:25:28.898 INFO   - ViewPointStyle::unsetPointStyle
19:25:28.898 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
19:25:28.898 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
19:25:28.898 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
19:25:28.898 INFO   - BackgroundStateCurve::processImageFromSavedInputs
19:25:28.898 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
19:25:28.898 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
19:25:28.928 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
19:25:28.928 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(716x465)
19:25:28.929 INFO   - BackgroundStateNone::setCurveSelected
19:25:28.929 INFO   - BackgroundStateOriginal::setCurveSelected
19:25:28.929 INFO   - BackgroundStateUnloaded::setCurveSelected
19:25:28.929 INFO   - BackgroundStateContext::setBackgroundImage background=Filtered
19:25:28.929 INFO   - BackgroundStateContext::requestStateTransition
19:25:28.929 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
19:25:28.929 INFO   - MainWindow::slotViewZoom
19:25:28.929 INFO   - MainWindow::slotViewZoomFactor
19:25:28.929 INFO   - StatusBar::slotZoom zoom=12
19:25:28.929 INFO   - MainWindow::setCurrentFile
19:25:28.929 INFO   - MainWindow::updateWindowTitle
19:25:28.931 INFO   - MainWindow::saveStartingDocumentSnapshot
19:25:28.971 INFO   - CoordSystemContext::saveXml
19:25:28.971 INFO   - DocumentModelGeneral::saveXml
19:25:28.971 INFO   - DocumentModelCoords::saveXml
19:25:28.971 INFO   - DocumentModelDigitizeCurve::saveXml
19:25:28.971 INFO   - DocumentModelExportFormat::saveXml
19:25:28.972 INFO   - DocumentModelAxesChecker::saveXml
19:25:28.972 INFO   - DocumentModelGridDisplay::saveXml
19:25:28.972 INFO   - DocumentModelGridRemoval::saveXml
19:25:28.972 INFO   - DocumentModelPointMatch::saveXml
19:25:28.972 INFO   - DocumentModelSegments::saveXml
19:25:28.972 INFO   - Curve::saveXml
19:25:28.972 INFO   - ColorFilterSettings::saveXml
19:25:28.972 INFO   - CurveStyle::saveXml
19:25:28.972 INFO   - LineStyle::saveXml
19:25:28.972 INFO   - PointStyle::saveXml
19:25:28.972 INFO   - CurvesGraphs::saveXml
19:25:28.972 INFO   - Curve::saveXml
19:25:28.972 INFO   - ColorFilterSettings::saveXml
19:25:28.972 INFO   - CurveStyle::saveXml
19:25:28.972 INFO   - LineStyle::saveXml
19:25:28.972 INFO   - PointStyle::saveXml
19:25:28.972 INFO   - MainWindow::updateAfterCommand
19:25:28.972 INFO   - MainWindow::updateAfterCommandStatusBarCoords
19:25:28.972 INFO   - Document::iterateThroughCurvePointsAxes
19:25:28.972 INFO   - CoordSystemContext::iterateThroughCurvePointsAxes
19:25:28.972 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
19:25:28.972 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
19:25:28.972 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
19:25:28.972 INFO   - BackgroundStateCurve::processImageFromSavedInputs
19:25:28.973 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
19:25:28.973 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
